Price,Close,High,Low,Open,Volume
Ticker,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS
Date,,,,,
2015-01-01,465.8803405761719,472.20032249014594,461.61565905131795,464.54442203627195,253029
2015-01-02,469.8110656738281,471.6351381291634,463.2342111428491,467.575986558107,267284
2015-01-05,472.02044677734375,479.3937761378233,466.5482834576777,466.5482834576777,450124
2015-01-06,460.22833251953125,469.4513792423384,449.6436159335226,467.5759644344772,523022
2015-01-07,462.0267333984375,467.57599119438964,453.08625656873045,462.95159188907684,273834
2015-01-08,472.9197692871094,477.36428352813505,464.49308996050735,467.3191150271415,418025
2015-01-09,469.862548828125,481.577656615977,468.11556984923084,476.8248202313352,323393
2015-01-12,475.89990234375,478.7515717639531,465.0326141725745,470.40198670704365,335012
2015-01-13,472.4058532714844,481.8087857839163,466.24000552049006,481.8087857839163,367225
2015-01-14,484.0819091796875,488.8362585424491,472.3650312819506,476.2100573023868,610629
2015-01-15,491.35638427734375,500.7350967631339,482.6791005517815,490.96668962683736,614070
2015-01-16,501.4624938964844,504.5021444744791,486.65398966936743,490.4990163656333,619992
2015-01-19,503.644775390625,513.0494740169736,496.5263248284509,502.8653861481507,738491
2015-01-20,495.1494140625,508.58099350128265,493.69452889011365,504.55411295154744,452610
2015-01-21,512.7896728515625,516.426804351706,496.73412606898876,498.7085858631725,625092
2015-01-22,525.1300659179688,528.4294764655466,514.4004173943335,516.4787705031393,928520
2015-01-23,539.8607177734375,542.3807936925981,524.2728231577648,528.4815579455991,854065
2015-01-27,552.9805297851562,557.0073563876132,532.6642727425377,540.3803130534872,638930
2015-01-28,548.8496704101562,563.29446615735,542.5885696847537,551.2917854943286,584831
2015-01-29,548.6679077148438,555.8643199397869,544.017504349447,548.693894563893,494252
2015-01-30,541.4974975585938,550.7723177010215,514.4005608717088,549.6291664442942,1472222
2015-02-02,569.7893676757812,573.6343940077111,539.8606279592124,541.4194063561104,742990
2015-02-03,576.9597778320312,581.324378441755,557.5008749180928,574.7255038462524,664576
2015-02-04,569.4517211914062,580.7789069196003,562.4631503087595,580.7010004055941,558412
2015-02-05,568.4385986328125,575.1414233653114,561.9436687100557,568.9582276037324,484187
2015-02-06,575.7127685546875,586.4684037150375,567.3991941984514,568.9580265336009,692186
2015-02-09,574.7255859375,591.300708301801,561.1641270964086,568.5423918527622,829828
2015-02-10,595.8472900390625,601.0172684333295,566.3602115916125,574.154159457552,610487
2015-02-11,608.5513305664062,615.2021804273262,599.7701535740116,599.7701535740116,526499
2015-02-12,619.047119140625,620.91768559286,605.3297939043364,609.226739813117,385167
2015-02-13,625.4381713867188,627.6724456502328,614.7085223851557,620.9177031990149,383882
2015-02-16,641.1298828125,648.9758016589055,624.0611747768324,626.1395277381565,671118
2015-02-18,650.4827270507812,654.691407087128,631.3615428769189,641.1819223573644,531235
2015-02-19,660.5629272460938,663.5246172587467,645.3907153693115,651.989591303485,570051
2015-02-20,653.600341796875,663.0050406711587,650.2749440062041,659.8874295923678,295541
2015-02-23,663.5506591796875,671.2147262913927,652.5092202967335,655.73072500737,526589
2015-02-24,659.8095703125,669.2402567075115,653.13273338085,665.6030705352518,392576
2015-02-25,696.64892578125,704.0531237423809,662.485408449741,662.485408449741,1312036
2015-02-26,665.1873168945312,711.0676584992497,660.952595768621,700.9355444267319,1890553
2015-02-27,689.8681030273438,696.2072181507747,655.9644560654299,659.8873889847914,1124411
2015-03-02,727.5388793945312,740.3469359754885,688.2314270755232,696.3111205895725,795336
2015-03-03,742.0616455078125,753.4148179690184,727.4349947967519,729.5134022612165,655032
2015-03-04,733.2803955078125,754.6877741535302,728.1623919228684,745.6207967792847,543780
2015-03-05,715.0166625976562,739.7494404892384,704.4947994367186,739.385732701428,759542
2015-03-09,708.3917236328125,729.4613264816593,704.5207105320013,714.4449832258495,479709
2015-03-10,711.0676879882812,717.5106968874586,701.455148331078,706.3133918512424,482714
2015-03-11,723.2003173828125,731.5398259186022,714.4970470257394,719.8748654856446,668331
2015-03-12,764.8198852539062,774.0947033209197,723.6159342536182,727.9545486082355,925695
2015-03-13,744.451904296875,779.3947638615235,738.5545099812784,768.9249264308554,988493
2015-03-16,724.94091796875,752.7913062494448,714.9906576144476,749.3099874543435,649787
2015-03-17,731.74755859375,746.1143925446775,718.7576491056267,728.681921585475,1137142
2015-03-18,729.3314819335938,747.6992103810419,725.7722567482435,735.7485036156164,593889
2015-03-19,711.0416870117188,744.9973632597871,706.9109131754061,736.2681063990984,600833
2015-03-20,710.7819213867188,721.0179829838743,699.3767759214685,703.5335365724851,536261
2015-03-23,700.2860717773438,718.7317620186348,693.9470101947935,714.4191341612259,421968
2015-03-24,695.5838623046875,703.2219432707712,685.2179184335948,694.7005255021505,519767
2015-03-25,708.9892578125,710.8078505798251,695.5316929449746,700.8835238750853,609024
2015-03-26,704.1570434570312,720.1606175380277,697.0126061785018,706.6251453649031,1180776
2015-03-27,717.7445068359375,724.3173957758023,696.259166760272,709.2490775958499,459818
2015-03-30,734.7093505859375,737.0735052575917,717.5626784782204,726.8115104497117,400860
2015-03-31,725.7461547851562,747.6731049398729,722.9143455819466,737.2292045855379,556099
2015-04-01,733.9300537109375,737.3074256708912,723.564110213738,725.9282651830342,275690
2015-04-06,752.2457275390625,754.454015190985,727.4349885196364,737.8269176988699,526748
2015-04-07,752.9210815429688,763.8065966721806,744.3217601472927,757.0518547842647,571634
2015-04-08,759.7538452148438,770.5094810303781,753.4147302000554,757.571544644737,517472
2015-04-09,758.0132446289062,774.198673869832,748.2188507860554,763.2871697853291,533252
2015-04-10,752.0379638671875,768.4832091464643,747.9071894239124,761.2088363648021,541262
2015-04-13,748.9202880859375,757.0519554690974,737.930824129085,756.9480621158909,423303
2015-04-15,743.5164794921875,758.5847975043256,738.4244085685324,753.4147660461102,362295
2015-04-16,729.72119140625,748.0629333829786,722.2389790899819,743.5944386904266,303952
2015-04-17,688.8807983398438,732.1112324011235,682.7235917929338,732.1112324011235,402589
2015-04-20,677.2160034179688,698.805237089264,671.2925694335213,692.1024138486246,458567
2015-04-21,671.0587158203125,687.1142082198262,661.2902563844501,679.5281032729921,408470
2015-04-22,673.474853515625,684.8280791941669,650.430789283066,673.4489206975376,554932
2015-04-23,665.9146118164062,684.1264702247229,659.1598703249406,678.4888386929377,363042
2015-04-24,638.142333984375,674.9557536785602,629.8807861170561,667.6813817943408,710274
2015-04-27,657.263427734375,666.6421385241327,646.8974330467174,662.3814309592822,1149890
2015-04-28,672.1499633789062,677.787596460618,644.8192018458687,651.7298122505188,550889
2015-04-29,675.8131103515625,688.439313893712,669.785782847982,671.8901230916533,547543
2015-04-30,707.0667724609375,711.3274804768179,671.9940404383025,676.5664825405304,1031515
2015-05-04,729.3055419921875,732.1113649807522,712.626525136491,717.0430463335142,864815
2015-05-05,699.1688842773438,711.8470060411173,686.4907084868693,709.5088384751822,705792
2015-05-06,673.3450317382812,700.2601116725973,665.0834294726071,693.6612354042184,643673
